2023-12-05 19:56:41.081 DEBUG:   (start of logging session)
2023-12-05 22:00:51.647 INFO:    Plate 'stock_plate' well H12: target = 12.5k cells, aliquot = 27.1 μL
2023-12-05 22:01:05.859 INFO:    Flushing CCI with 1 x 200.0 μL of 'pbs'.
2023-12-05 22:01:40.982 INFO:    Aliquoting 168.3 μL of 'media' and 31.7 μL from source well A12 to well A12 on plate 'stock_plate'.
2023-12-05 22:01:57.438 INFO:    Mixing at source plate location 'A12', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 22:02:28.961 INFO:    Aliquoting 113.0 μL of 'media' and 87.0 μL from source well B12 to well B12 on plate 'stock_plate'.
2023-12-05 22:02:41.971 INFO:    Mixing at source plate location 'B12', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 22:03:14.609 INFO:    Aliquoting 165.1 μL of 'media' and 34.9 μL from source well C12 to well C12 on plate 'stock_plate'.
2023-12-05 22:03:28.802 INFO:    Mixing at source plate location 'C12', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 22:04:00.334 INFO:    Aliquoting 166.4 μL of 'media' and 33.6 μL from source well D12 to well D12 on plate 'stock_plate'.
2023-12-05 22:04:14.622 INFO:    Mixing at source plate location 'D12', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 22:04:46.238 INFO:    Aliquoting 155.6 μL of 'media' and 44.4 μL from source well E12 to well E12 on plate 'stock_plate'.
2023-12-05 22:05:00.315 INFO:    Mixing at source plate location 'E12', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 22:05:32.155 INFO:    Aliquoting 165.3 μL of 'media' and 34.7 μL from source well F12 to well F12 on plate 'stock_plate'.
2023-12-05 22:05:46.403 INFO:    Mixing at source plate location 'F12', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 22:06:17.979 INFO:    Aliquoting 166.6 μL of 'media' and 33.4 μL from source well G12 to well G12 on plate 'stock_plate'.
2023-12-05 22:06:32.175 INFO:    Mixing at source plate location 'G12', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 22:07:03.757 INFO:    Aliquoting 172.9 μL of 'media' and 27.1 μL from source well H12 to well H12 on plate 'stock_plate'.
2023-12-05 22:07:18.043 INFO:    Mixing at source plate location 'H12', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 22:07:49.591 INFO:    Flushing CCI with 1 x 200.0 μL of 'detergent' with 60.0 s dwell.
2023-12-05 22:09:27.259 INFO:    Flushing CCI with 3 x 200.0 μL of 'water'.
2023-12-05 22:10:38.566 INFO:    Setting tempdeck to 25.0 °C...
2023-12-05 22:10:38.740 INFO:    Tempdeck reached setpoint.
2023-12-05 22:10:38.744 INFO:    Deactivating tempdeck.
2023-12-05 22:10:38.927 NOTICE:  Protocol complete.
